Job Title,Company Name,Location,Required Skills,Date of Post,More Info
Full Stack Developer,Ashutosh Brokerage and Securities,"Kathmandu, Nepal","Html, Css, Javascript, Oracle, Mysql, Python",NULL,https://merojob.com/full-stack-developer-54/
Backend Developer (Python),Tekvortex,"Harihar Bhawan, Pulchowk","Data, Analytics, Big, Data, Python, Backend",NULL,https://merojob.com/backend-developer-python-11/
Full Stack Developer (Python),Tekvortex,"Pulchowk, Lalitpur","React, Communication, Vuejs, Django, Framework, Python",NULL,https://merojob.com/full-stack-developer-python-4/
Data Scientist,Tekvortex,"Pulchowk, Lalitpur","Data, Analysis, Python, Statistical, Modelling",NULL,https://merojob.com/data-scientist-6/
Backend Developer,Chulo Solutions,Kathmandu,"Data, Analytics, Backend, Django, Framework, Laravel, Framework, Python",NULL,https://merojob.com/backend-developers-3/
Python Developer,Fusemachines Nepal,"Kamaladi, Kathmandu","Python, Debugging, Html5, Css3",NULL,https://merojob.com/python-developer-34/
Linux System Engineer,Verisk Nepal,Kathmandu,"Linux, Bash, Communication, Python",NULL,https://merojob.com/linux-system-engineer/
Python Developer,Verisk Nepal,Lalitpur,"Python, Django, Framework, React, Postgresql",NULL,https://merojob.com/python-developer-33/
Data QA Engineer,Verisk Nepal,Lalitpur,"Automation, Tester, Database, Python, Javascript",NULL,https://merojob.com/data-qa-engineer/
Dot Net Developer,Verisk Nepal,Kathmandu,"Python, Aws, Services, Communication, Asp.Net",NULL,https://merojob.com/dot-net-developer-60/
Statistical Programmer,Numeric Mind,"Kathmandu, Nepal","Statistical, Modelling, Data, Analysis, Python, Computer, Science",NULL,https://merojob.com/statistical-programmer/
Senior Software Engineer,HLE Nepal,"Jawalakhel,Lalitpur","Javascript, React, Angular, Node.Js, Python",NULL,https://merojob.com/senior-software-engineer-47/
Senior QA Engineer,Altigen Communications Inc.,Kathmandu,".Net, C#, Voip, Python, Software, Quality, Assurance, Automation, Script",NULL,https://merojob.com/senior-qa-engineer-18/
Software Engineer,Readytowork,"Shankhamul - 22, Lalitpur","React, Node.Js, Golang, Python",NULL,https://merojob.com/software-engineer-120/
Senior Software Engineer,Readytowork,"Shankhamul - 22, Lalitpur","React, Angular, Node.Js, Golang, Python",NULL,https://merojob.com/senior-software-engineer-48/
